C:\Users\Test\AppData\Local\Programs\Python\Python39\python.exe "C:/Users/Test/Documents/School/2021-H/IDATT2502/Course Work/Project/src/kautenja/jordi/dqn_train.py"
Episode 227 : 2002  / 660347    , ended with 0.0  , mean reward 0.0     , (epsilon 0.02              )
Episode 228 : 686   / 661033    , ended with 0.0  , mean reward 0.0     , (epsilon 0.02              )
Episode 229 : 485   / 661518    , ended with 0.0  , mean reward 0.0     , (epsilon 0.02              )
Episode 230 : 4044  / 665562    , ended with 0.0  , mean reward 0.0     , (epsilon 0.02              )
Episode 231 : 1986  / 667548    , ended with 0.0  , mean reward 0.0     , (epsilon 0.02              )
Episode 232 : 2413  / 669961    , ended with 0.0  , mean reward 0.0     , (epsilon 0.02              )
Episode 233 : 3113  / 673074    , ended with 0.0  , mean reward 0.0     , (epsilon 0.02              )
Episode 234 : 5492  / 678566    , ended with 0.0  , mean reward 0.0     , (epsilon 0.02              )
Episode 235 : 4638  / 683204    , ended with 0.0  , mean reward 0.0     , (epsilon 0.02              )
Episode 236 : 2385  / 685589    , ended with 0.0  , mean reward 0.0     , (epsilon 0.02              )
Episode 237 : 4827  / 690416    , ended with 0.0  , mean reward 0.0     , (epsilon 0.02              )
Episode 238 : 1701  / 692117    , ended with 0.0  , mean reward 0.0     , (epsilon 0.02              )
Episode 239 : 2069  / 694186    , ended with 0.0  , mean reward 0.0     , (epsilon 0.02              )
Episode 240 : 5099  / 699285    , ended with 0.0  , mean reward 0.0     , (epsilon 0.02              )
Episode 241 : 2071  / 701356    , ended with 0.0  , mean reward 0.0     , (epsilon 0.02              )
Episode 242 : 451   / 701807    , ended with 0.0  , mean reward 0.0     , (epsilon 0.02              )
Episode 243 : 1724  / 703531    , ended with 0.0  , mean reward 0.0     , (epsilon 0.02              )
Episode 244 : 1262  / 704793    , ended with 0.0  , mean reward 0.0     , (epsilon 0.02              )
Episode 245 : 1253  / 706046    , ended with 0.0  , mean reward 0.0     , (epsilon 0.02              )
Episode 246 : 2669  / 708715    , ended with 0.0  , mean reward 0.0     , (epsilon 0.02              )
Episode 247 : 2314  / 711029    , ended with 0.0  , mean reward 0.0     , (epsilon 0.02              )
Episode 248 : 2090  / 713119    , ended with 0.0  , mean reward 0.0     , (epsilon 0.02              )
Episode 249 : 2266  / 715385    , ended with 0.0  , mean reward 0.0     , (epsilon 0.02              )
Episode 250 : 3562  / 718947    , ended with 0.0  , mean reward 0.0     , (epsilon 0.02              )
Episode 251 : 2019  / 720966    , ended with 0.0  , mean reward 0.0     , (epsilon 0.02              )
Episode 252 : 2762  / 723728    , ended with 0.0  , mean reward 0.0     , (epsilon 0.02              )
Episode 253 : 3034  / 726762    , ended with 0.0  , mean reward 0.0     , (epsilon 0.02              )
Episode 254 : 3026  / 729788    , ended with 0.0  , mean reward 0.0     , (epsilon 0.02              )
Episode 255 : 3074  / 732862    , ended with 0.0  , mean reward 0.0     , (epsilon 0.02              )
Episode 256 : 2914  / 735776    , ended with 0.0  , mean reward 0.0     , (epsilon 0.02              )
Episode 257 : 2490  / 738266    , ended with 0.0  , mean reward 0.0     , (epsilon 0.02              )
Episode 258 : 2433  / 740699    , ended with 0.0  , mean reward 0.0     , (epsilon 0.02              )
Episode 259 : 3750  / 744449    , ended with 0.0  , mean reward 0.0     , (epsilon 0.02              )
Episode 260 : 3632  / 748081    , ended with 0.0  , mean reward 0.0     , (epsilon 0.02              )
Episode 261 : 5150  / 753231    , ended with 0.0  , mean reward 0.0     , (epsilon 0.02              )
Episode 262 : 2903  / 756134    , ended with 0.0  , mean reward 0.0     , (epsilon 0.02              )
Episode 263 : 2560  / 758694    , ended with 0.0  , mean reward 0.0     , (epsilon 0.02              )
Episode 264 : 5097  / 763791    , ended with 0.0  , mean reward 0.0     , (epsilon 0.02              )
Episode 265 : 5654  / 769445    , ended with 0.0  , mean reward 0.0     , (epsilon 0.02              )
Episode 266 : 4316  / 773761    , ended with 0.0  , mean reward 0.0     , (epsilon 0.02              )
Episode 267 : 2924  / 776685    , ended with 0.0  , mean reward 0.0     , (epsilon 0.02              )
Episode 268 : 2171  / 778856    , ended with 0.0  , mean reward 0.0     , (epsilon 0.02              )
Episode 269 : 2195  / 781051    , ended with 0.0  , mean reward 0.0     , (epsilon 0.02              )
Episode 270 : 2643  / 783694    , ended with 0.0  , mean reward 0.0     , (epsilon 0.02              )
Episode 271 : 2161  / 785855    , ended with 0.0  , mean reward 0.0     , (epsilon 0.02              )
Episode 272 : 2091  / 787946    , ended with 0.0  , mean reward 0.0     , (epsilon 0.02              )
Episode 273 : 2522  / 790468    , ended with 0.0  , mean reward 0.0     , (epsilon 0.02              )
Episode 274 : 5944  / 796412    , ended with 0.0  , mean reward 0.0     , (epsilon 0.02              )
Episode 275 : 441   / 796853    , ended with 0.0  , mean reward 0.0     , (epsilon 0.02              )
Episode 276 : 581   / 797434    , ended with 0.0  , mean reward 0.0     , (epsilon 0.02              )
Episode 277 : 948   / 798382    , ended with 0.0  , mean reward 0.0     , (epsilon 0.02              )
